#TYPE System.Management.Automation.PSCustomObject
"HostName","IPAddress","CNAME","Role","MailServer","CheckAPLogName","IsAPServer"
"d06716-apb","10.200.2.138","mbga-lcard-deploy002/mbga-guild-deploy002","TM","10.200.2.61","","Y"
"d03228-apa","10.200.46.121","mbga-lcard-ap004","AP","10.200.2.61","","Y"
"d03331-apa","10.200.46.122","mbga-lcard-ap005","AP","10.200.2.61","","Y"
"d03330-apa","10.200.46.123","mbga-lcard-ap006","AP","10.200.2.61","","Y"
"d03328-apa","10.200.46.133","mbga-guild-ap006","AP","10.200.2.61","","Y"
"d03227-apb","10.200.46.134","mbga-guild-ap007","AP","10.200.2.61","","Y"
"d03226-apb","10.200.46.135","mbga-guild-ap008","AP","10.200.2.61","","Y"
"d03332-apa","10.200.47.92","mbga-lcard-bt002/mbga-guild-bt002","BT","10.200.2.61","","Y"
"d03229-apa","10.200.47.193","mbga-lcard-admin003/mbga-guild-admin003","ADMIN","10.200.2.61","","Y"
"d03333-apa","10.200.47.194","mbga-lcard-admin004/mbga-guild-admin004","ADMIN","10.200.2.61","","Y"
"d05102-dbb","10.200.47.205","mbga-lcard-db005","DB","10.200.2.61","",""
